team colley_ranking conference
" Golden_State" 0.87406268585848 " W "
" San_Antonio" 0.80397569628583 " W "
" Cleveland" 0.6924282509226299 " E "
" Toronto" 0.6593469134188901 " E "
" Oklahoma_City" 0.65555249192855 " W "
" LA_Clippers" 0.62970790233517 " W "
" Miami" 0.57736691176686 " E "
" Boston" 0.5656898812167099 " E "
" Memphis" 0.56317630318572 " W "
" Atlanta" 0.55882185437766 " E "
" Charlotte" 0.5582243910853699 " E "
" Indiana" 0.5479618158411199 " E "
" Chicago" 0.51600655636765 " E "
" Portland" 0.5159407208259199 " W "
" Houston" 0.51132717558098 " W "
" Dallas" 0.50217823453513 " W "
" Detroit" 0.5002504633787399 " E "
" Utah" 0.4872064942913 " W "
" Washington" 0.4837092750028 " E "
" Milwaukee" 0.43502499070781997 " E "
" Orlando" 0.43224434566414 " E "
" Denver" 0.42085818870416997 " W "
" New_York" 0.41439319523409 " E "
" Sacramento" 0.41281707659663 " W "
" New_Orleans" 0.38452079098266995 " W "
" Minnesota" 0.31998444787248 " W "
" Phoenix" 0.29895222580363 " W "
" Brooklyn" 0.29073556727558003 " E "
" LA_Lakers" 0.23672170016845004 " W "
" Philadelphia" 0.15081345278487 " E "
