team massey_ranking conference
" San_Antonio" 11.22958985683614 " W "
" Golden_State" 10.299530330231 " W "
" Oklahoma_City" 6.468821795086559 " W "
" Cleveland" 5.75538952391281 " E "
" Toronto" 3.92961243244308 " E "
" LA_Clippers" 3.71400911210841 " W "
" Boston" 3.5362789449717003 " E "
" Atlanta" 3.20597523990619 " E "
" Charlotte" 2.08557462629171 " E "
" Indiana" 1.7623327764619199 " E "
" Utah" 1.12433422263523 " W "
" Miami" 1.04952790084623 " E "
" Portland" 0.65853611630185 " W "
" Detroit" 0.22470846269122 " E "
" Houston" -0.38848891722108 " W "
" Dallas" -0.41184286578209006 " W "
" Chicago" -0.9738558116466899 " E "
" Washington" -1.25364969853732 " E "
" Memphis" -1.71187857346962 " W "
" Denver" -1.97541075375424 " W "
" Sacramento" -2.11602848648856 " W "
" Orlando" -2.16039444345005 " E "
" New_York" -2.23842239692468 " E "
" New_Orleans" -2.99208260249952 " W "
" Milwaukee" -3.4661632713594703 " E "
" Minnesota" -4.08437793206401 " W "
" Brooklyn" -6.2028794311508895 " E "
" Phoenix" -6.42425851157498 " W "
" LA_Lakers" -8.21358021252894 " W "
" Philadelphia" -10.43090743227192 " E "
