team wp_ranking conference
" Golden_State" 0.9090909090909101 " W "
" San_Antonio" 0.8507462686567199 " W "
" Cleveland" 0.7121212121212099 " E "
" Toronto" 0.6818181818181801 " E "
" Oklahoma_City" 0.6716417910447801 " W "
" LA_Clippers" 0.63636363636364 " W "
" Miami" 0.5820895522388101 " E "
" Boston" 0.5820895522388101 " E "
" Memphis" 0.5820895522388101 " W "
" Atlanta" 0.56716417910448 " E "
" Charlotte" 0.56060606060606 " E "
" Indiana" 0.53731343283582 " E "
" Portland" 0.51470588235294 " W "
" Chicago" 0.50769230769231 " E "
" Dallas" 0.50746268656716 " W "
" Houston" 0.50746268656716 " W "
" Detroit" 0.50746268656716 " E "
" Utah" 0.47761194029851006 " W "
" Washington" 0.46969696969697 " E "
" Orlando" 0.43939393939393995 " E "
" Milwaukee" 0.42647058823529 " E "
" New_York" 0.41176470588235 " E "
" Denver" 0.41176470588235 " W "
" Sacramento" 0.39393939393939004 " W "
" New_Orleans" 0.36363636363636004 " W "
" Minnesota" 0.31343283582090004 " W "
" Brooklyn" 0.28358208955224 " E "
" Phoenix" 0.26865671641791 " W "
" LA_Lakers" 0.20588235294117999 " W "
" Philadelphia" 0.13432835820896002 " E "
