team colley_ranking colley_new_ranking difference
" Golden_State" 0.87406268585848 0.87115576811314 -0.00291
" San_Antonio" 0.80397569628583 0.77484536904376 -0.02913
" Cleveland" 0.6924282509226299 0.66840788328843 -0.02402
" Toronto" 0.6593469134188901 0.64780878322532 -0.01154
" Oklahoma_City" 0.65555249192855 0.63819370975061 -0.01736
" LA_Clippers" 0.62970790233517 0.62831885457875 -0.00139
" Miami" 0.57736691176686 0.5799524953623499 0.00259
" Boston" 0.5656898812167099 0.5680054592210799 0.00232
" Memphis" 0.56317630318572 0.56183934716813 -0.00134
" Atlanta" 0.55882185437766 0.56132539456703 0.0025
" Charlotte" 0.5582243910853699 0.5585465478462199 0.00032
" Indiana" 0.5479618158411199 0.54635696988196 -0.0016
" Chicago" 0.51600655636765 0.5180400811231 0.00203
" Portland" 0.5159407208259199 0.5125937518527399 -0.00335
" Houston" 0.51132717558098 0.51017190587271 -0.00116
" Detroit" 0.5002504633787399 0.50411365622137 0.00386
" Dallas" 0.50217823453513 0.50050120884226 -0.00168
" Washington" 0.4837092750028 0.48603649219474004 0.00233
" Utah" 0.4872064942913 0.48579745912712 -0.00141
" Orlando" 0.43224434566414 0.4360828536445 0.00384
" Milwaukee" 0.43502499070781997 0.43469469952193 -0.00033
" Denver" 0.42085818870416997 0.41745277821214 -0.00341
" New_York" 0.41439319523409 0.41637700486122997 0.00198
" Sacramento" 0.41281707659663 0.41107660155669 -0.00174
" New_Orleans" 0.38452079098266995 0.36721569762384004 -0.01731
" Philadelphia" 0.15081345278487 0.30529938863481 0.15449
" Minnesota" 0.31998444787248 0.30433052071802 -0.01565
" Phoenix" 0.29895222580363 0.29703998416573996 -0.00191
" Brooklyn" 0.29073556727558003 0.26723538582108 -0.0235
" LA_Lakers" 0.23672170016845004 0.22118394795924998 -0.01554
