team massey_ranking massey_new_ranking difference
" Golden_State" 10.299530330231 10.22591508651098 -0.07362
" San_Antonio" 11.22958985683614 9.46907563676742 -1.76051
" Oklahoma_City" 6.468821795086559 5.889804510711241 -0.57902
" Cleveland" 5.75538952391281 5.50924583936844 -0.24614
" LA_Clippers" 3.71400911210841 3.66300847530562 -0.051
" Boston" 3.5362789449717003 3.6111150092569204 0.07484
" Toronto" 3.92961243244308 3.5610915883181202 -0.36852
" Atlanta" 3.20597523990619 3.27705918404546 0.07108
" Charlotte" 2.08557462629171 2.11613201361094 0.03056
" Indiana" 1.7623327764619199 1.7217743637375 -0.04056
" Miami" 1.04952790084623 1.1356791645474098 0.08615
" Utah" 1.12433422263523 1.07293650985613 -0.0514
" Portland" 0.65853611630185 0.56471351089967 -0.09382
" Detroit" 0.22470846269122 0.34768845754528 0.12298
" Houston" -0.38848891722108 -0.45243272827920006 -0.06394
" Dallas" -0.41184286578209006 -0.47443786208824 -0.06259
" Chicago" -0.9738558116466899 -0.9091241179557601 0.06473
" Washington" -1.25364969853732 -1.17698509105349 0.07666
" Memphis" -1.71187857346962 -1.7433805019691002 -0.0315
" Orlando" -2.16039444345005 -2.03947817504398 0.12092
" Denver" -1.97541075375424 -2.0893640380487297 -0.11395
" New_York" -2.23842239692468 -2.17453644697889 0.06389
" Sacramento" -2.11602848648856 -2.17755669828873 -0.06153
" New_Orleans" -2.99208260249952 -3.30117633231192 -0.30909
" Milwaukee" -3.4661632713594703 -3.47435943753781 -0.0082
" Minnesota" -4.08437793206401 -4.28790744315414 -0.20353
" Philadelphia" -10.43090743227192 -5.995575438849991 4.43533
" Phoenix" -6.42425851157498 -6.5031152454617205 -0.07886
" Brooklyn" -6.2028794311508895 -6.82112485653515 -0.61825
" LA_Lakers" -8.21358021252894 -8.54468493692429 -0.3311
