team massey_ranking massey_new_ranking difference
" Golden_State" 10.299530330231 10.14003221108266 -0.1595
" San_Antonio" 11.22958985683614 9.500039072973369 -1.72955
" Oklahoma_City" 6.468821795086559 5.90775633299364 -0.56107
" Cleveland" 5.75538952391281 4.566295215551429 -1.18909
" LA_Clippers" 3.71400911210841 3.66968515689187 -0.04432
" Boston" 3.5362789449717003 3.6184566776118796 0.08218
" Atlanta" 3.20597523990619 3.30804734623164 0.10207
" Toronto" 3.92961243244308 2.58709677038665 -1.34252
" Charlotte" 2.08557462629171 2.09923653783636 0.01366
" Indiana" 1.7623327764619199 1.69450552452445 -0.06783
" Miami" 1.04952790084623 1.1160170506038898 0.06649
" Utah" 1.12433422263523 1.08067336026472 -0.04366
" Portland" 0.65853611630185 0.5665395359280699 -0.092
" Detroit" 0.22470846269122 0.34422253962946997 0.11951
" Houston" -0.38848891722108 -0.41506019242275 -0.02657
" Dallas" -0.41184286578209006 -0.44606968351876 -0.03423
" Chicago" -0.9738558116466899 -0.94891220260424 0.02494
" Washington" -1.25364969853732 -1.2428454671246598 0.0108
" Memphis" -1.71187857346962 -1.7142451846561 -0.00237
" Orlando" -2.16039444345005 -2.02656889354334 0.13383
" Denver" -1.97541075375424 -2.07638052000387 -0.10097
" Sacramento" -2.11602848648856 -2.16488893542292 -0.04886
" New_York" -2.23842239692468 -2.1848763506994398 0.05355
" New_Orleans" -2.99208260249952 -3.0942026675034304 -0.10212
" Milwaukee" -3.4661632713594703 -3.49562313426851 -0.02946
" Minnesota" -4.08437793206401 -4.13215018065951 -0.04777
" Philadelphia" -10.43090743227192 -5.40942903055458 5.02148
" Brooklyn" -6.2028794311508895 -6.0666171194625695 0.13626
" Phoenix" -6.42425851157498 -6.497149863548841 -0.07289
" LA_Lakers" -8.21358021252894 -8.283583906516629 -0.07
